session_id,date_utc,track,layout,car,class,session_type,weatherconditions,duration_s,continuous_span_s,laps,source_bytes,catalog_continuous,catalog_events
S273-2df49c65,2026-07-17T16:23:39Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,4519.545,158.0,1,5124096,56,42
S274-708c06bc,2026-07-17T16:26:24Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,6225.3,1892.0,15,39776256,56,42
S275-d6f3f9ff,2026-07-17T17:00:28Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,6729.158,737.0,5,17428480,56,42
S276-4e2b5e8e,2026-07-17T17:14:23Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,8053.96,824.0,6,19705856,56,42
S277-160e9e30,2026-07-17T19:06:32Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,0.0,0.0,0,831488,56,42
S278-7da31387,2026-07-17T19:06:50Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,7315.76,976.0,8,22933504,56,42
S279-a433f852,2026-07-17T19:31:28Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,3944.758,13.0,0,1683456,56,42
S280-d4c7bb38,2026-07-17T19:31:49Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,5377.32,1853.0,15,40939520,56,42
S281-41fe826d,2026-07-17T20:23:13Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,2044.135,354.0,2,9318400,56,42
S282-1b1ecec2,2026-07-17T20:32:11Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,3343.92,786.0,6,18935808,56,42
S283-12f12d21,2026-07-17T20:46:52Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,3463.997,514.0,4,13217792,56,42
S284-fe613559,2026-07-17T21:00:59Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,5382.56,1291.0,10,28356608,56,42
S285-0a3bebe6,2026-07-17T21:23:12Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,5643.073,663.0,5,15413248,56,42
S286-896cf401,2026-07-18T15:05:04Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,3817.9,344.0,2,9056256,56,42
S287-bda9a70a,2026-07-18T15:24:25Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Race,Partially Cloudy,3653.82,3615.0,30,99610624,56,42
S288-1a89ebd5,2026-07-28T17:38:12Z,Sebring International Raceway,Sebring International Raceway,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Clear,1020.0,1020.0,0,17362944,56,42
